fragment,api,relevance
"Can I download an SQLite db on /sdcard and access it from my Android app? 

I already found out that there is no way to bundle files in an .apk and have them on /sdcard, the best option so far being to download the large files upon first run. I came accross a tutorial saying how to bundle an sqlite db with the apk and then copy it so that it can be accessed with SQLiteDatabase (thus doubling the space needed, and not using /sdcard at all).

http://developer.android.com/guide/topics/data/data-storage.html#db says all databases MUST be in /data/data/package_name/databases. 

Is that really so? Is there a way to trick the framework into opening a database that is placed on the /sdcard partition? Is there a way to use another SQLite java wrapper/framework to access such databases?

If the answer to the above is 'No', what other options do I have? My data is very well represented in a relational model, but is just too big, plus, I want to be able to update it without the need to reinstall/upgrade the entire app.

Sure you can. The docs are a little conflicting about this as they also say that no limitations are imposed. I think they should say that relative paths are to the above location and dbs there ARE private. Here is the code you want:
    
    
    File dbfile = new File(""/sdcard/mydb.sqlite"" ); 
    SQLiteDatabase db = SQLiteDatabase.openOrCreateDatabase(dbfile, null);
    System.out.println(""Its open? "" + db.isOpen());",File,1
"Can I download an SQLite db on /sdcard and access it from my Android app? 

I already found out that there is no way to bundle files in an .apk and have them on /sdcard, the best option so far being to download the large files upon first run. I came accross a tutorial saying how to bundle an sqlite db with the apk and then copy it so that it can be accessed with SQLiteDatabase (thus doubling the space needed, and not using /sdcard at all).

http://developer.android.com/guide/topics/data/data-storage.html#db says all databases MUST be in /data/data/package_name/databases. 

Is that really so? Is there a way to trick the framework into opening a database that is placed on the /sdcard partition? Is there a way to use another SQLite java wrapper/framework to access such databases?

If the answer to the above is 'No', what other options do I have? My data is very well represented in a relational model, but is just too big, plus, I want to be able to update it without the need to reinstall/upgrade the entire app.

Sure you can. The docs are a little conflicting about this as they also say that no limitations are imposed. I think they should say that relative paths are to the above location and dbs there ARE private. Here is the code you want:
    
    
    File dbfile = new File(""/sdcard/mydb.sqlite"" ); 
    SQLiteDatabase db = SQLiteDatabase.openOrCreateDatabase(dbfile, null);
    System.out.println(""Its open? "" + db.isOpen());",SQLiteDatabase,1
"Android SimpleCursorAdapter doesn't update when database changes 

I have an Android `ListActivity` that is backed by a database `Cursor` through a `SimpleCursorAdapter`.

When the items are clicked, a flag field in the coresponding row in the database is toggled and the view in the list needs to be updated. 

The problem is, when the view that's updated goes off screen and is recycled, the old value is displayed on the view when it returns into view. The same thing happens whenever thr list is redrawb (orientation changes, etc). 

I use `notifydatasetchanged()` to refresh the cursor adapter but it seems ineffective.

How should I be updating the database so the cursor is updated as well?

Call `requery()` on the `Cursor` when you change data in the database that you want reflected in that `Cursor` (or things the `Cursor` populates, like a `ListView` via a `CursorAdapter`).

A `Cursor` is akin to an ODBC client-side cursor -- it holds all of the data represented by the query result. Hence, just because you change the data in the database, the `Cursor` will not know about those changes unless you refresh it via `requery()`.

* * *

UPDATE: This whole question and set of answers should be deleted due to old age, but that's apparently impossible. Anyone seeking Android answers should bear in mind that the Android is a swiftly-moving target, and answers from 2009 are typically worse than are newer answers.

The current solution is to obtain a fresh `Cursor` and use either `changeCursor()` or `swapCursor()` on the `CursorAdapter` to affect a data change.",Cursor,1
"Android SimpleCursorAdapter doesn't update when database changes 

I have an Android `ListActivity` that is backed by a database `Cursor` through a `SimpleCursorAdapter`.

When the items are clicked, a flag field in the coresponding row in the database is toggled and the view in the list needs to be updated. 

The problem is, when the view that's updated goes off screen and is recycled, the old value is displayed on the view when it returns into view. The same thing happens whenever thr list is redrawb (orientation changes, etc). 

I use `notifydatasetchanged()` to refresh the cursor adapter but it seems ineffective.

How should I be updating the database so the cursor is updated as well?

It's easy. 
    
    
    private Db mDbAdapter;
    private Cursor mCursor;
    private SimpleCursorAdapter mCursorAd;
    .....................................
    //After removing the item from the DB, use this
    .....................................
    mCursor = mDbAdapter.getAllItems();
    mCursorAd.swapCursor(mCursor);
    

Or use CursorLoader...",Cursor,0
"How do I backup a database file to the SD card on Android? 

I'd like to add a feature to my Android app that automatically backs up the SQLite database to the SD card.

What's the best way to go about this? Are any examples or tutorials available?

If success block give me an error on:
    
    
    String inFileName = context.getDatabasePath(DB-Name);
    File dbFile = new File(inFileName);
    FileInputStream fis = new FileInputStream(dbFile);",FileInputStream,0
"How do I backup a database file to the SD card on Android? 

I'd like to add a feature to my Android app that automatically backs up the SQLite database to the SD card.

What's the best way to go about this? Are any examples or tutorials available?

If success block give me an error on:
    
    
    String inFileName = context.getDatabasePath(DB-Name);
    File dbFile = new File(inFileName);
    FileInputStream fis = new FileInputStream(dbFile);",File,0
"How do I backup a database file to the SD card on Android? 

I'd like to add a feature to my Android app that automatically backs up the SQLite database to the SD card.

What's the best way to go about this? Are any examples or tutorials available?

You find your Database Name in the Database Adapter if you are new into this.

Note that you can do this for SharedPreferences too but keep in mind to change your Context.MODE_PRIVATE to Context.MODE_MULTI_PROCESS.

SharedPreferences_name should look like this = `ExportSP(""temp.xml"");`
    
    
    String currentPathForSharedPreferences = ""/data/""+ context.getPackageName() +""/shared_prefs/""+ SharedPreferences_name;
    

For export
    
    
    exportDB(""MyDbName"");
    private void exportDB(String db_name){
    File sd = new File(Environment.getExternalStoragePublicDirectory(Environment.DIRECTORY_DOWNLOADS) + 
    File.separator + ""Your Backup Folder""+ 
    File.separator );
    boolean success = true;
    if (!sd.exists()) {
    success = sd.mkdir();
    }
    if (success) {
    File data = Environment.getDataDirectory();
    FileChannel source=null;
    FileChannel destination=null;
    String currentDBPath = ""/data/""+ context.getPackageName() +""/databases/""+db_name;
    String backupDBPath = db_name;
    File currentDB = new File(data, currentDBPath);
    File backupDB = new File(sd, backupDBPath);
    try {
    source = new FileInputStream(currentDB).getChannel();
    destination = new FileOutputStream(backupDB).getChannel();
    destination.transferFrom(source, 0, source.size());
    source.close();
    destination.close();
    Toast.makeText(this, ""Please wait"", Toast.LENGTH_SHORT).show();
    } catch(IOException e) {
    e.printStackTrace();
    }
    }}
    

For import
    
    
    importDB(""MyDbName"");
    private void importDB(String db_name){
    File sd = new File(Environment.getExternalStoragePublicDirectory(Environment.DIRECTORY_DOWNLOADS) + 
    File.separator + ""Your Backup Folder""+ 
    File.separator );
    File data = Environment.getDataDirectory();
    FileChannel source=null;
    FileChannel destination=null;
    String backupDBPath = ""/data/""+ context.getPackageName() +""/databases/""+db_name;
    String currentDBPath = db_name;
    File currentDB = new File(sd, currentDBPath);
    File backupDB = new File(data, backupDBPath);
    try {
    source = new FileInputStream(currentDB).getChannel();
    destination = new FileOutputStream(backupDB).getChannel();
    destination.transferFrom(source, 0, source.size());
    source.close();
    destination.close();
    Toast.makeText(this, ""Please wait"", Toast.LENGTH_SHORT).show();
    } catch(IOException e) {
    e.printStackTrace();
    }
    }",FileOutputStream,0
"How do I backup a database file to the SD card on Android? 

I'd like to add a feature to my Android app that automatically backs up the SQLite database to the SD card.

What's the best way to go about this? Are any examples or tutorials available?

You find your Database Name in the Database Adapter if you are new into this.

Note that you can do this for SharedPreferences too but keep in mind to change your Context.MODE_PRIVATE to Context.MODE_MULTI_PROCESS.

SharedPreferences_name should look like this = `ExportSP(""temp.xml"");`
    
    
    String currentPathForSharedPreferences = ""/data/""+ context.getPackageName() +""/shared_prefs/""+ SharedPreferences_name;
    

For export
    
    
    exportDB(""MyDbName"");
    private void exportDB(String db_name){
    File sd = new File(Environment.getExternalStoragePublicDirectory(Environment.DIRECTORY_DOWNLOADS) + 
    File.separator + ""Your Backup Folder""+ 
    File.separator );
    boolean success = true;
    if (!sd.exists()) {
    success = sd.mkdir();
    }
    if (success) {
    File data = Environment.getDataDirectory();
    FileChannel source=null;
    FileChannel destination=null;
    String currentDBPath = ""/data/""+ context.getPackageName() +""/databases/""+db_name;
    String backupDBPath = db_name;
    File currentDB = new File(data, currentDBPath);
    File backupDB = new File(sd, backupDBPath);
    try {
    source = new FileInputStream(currentDB).getChannel();
    destination = new FileOutputStream(backupDB).getChannel();
    destination.transferFrom(source, 0, source.size());
    source.close();
    destination.close();
    Toast.makeText(this, ""Please wait"", Toast.LENGTH_SHORT).show();
    } catch(IOException e) {
    e.printStackTrace();
    }
    }}
    

For import
    
    
    importDB(""MyDbName"");
    private void importDB(String db_name){
    File sd = new File(Environment.getExternalStoragePublicDirectory(Environment.DIRECTORY_DOWNLOADS) + 
    File.separator + ""Your Backup Folder""+ 
    File.separator );
    File data = Environment.getDataDirectory();
    FileChannel source=null;
    FileChannel destination=null;
    String backupDBPath = ""/data/""+ context.getPackageName() +""/databases/""+db_name;
    String currentDBPath = db_name;
    File currentDB = new File(sd, currentDBPath);
    File backupDB = new File(data, backupDBPath);
    try {
    source = new FileInputStream(currentDB).getChannel();
    destination = new FileOutputStream(backupDB).getChannel();
    destination.transferFrom(source, 0, source.size());
    source.close();
    destination.close();
    Toast.makeText(this, ""Please wait"", Toast.LENGTH_SHORT).show();
    } catch(IOException e) {
    e.printStackTrace();
    }
    }",File,0
"How do I backup a database file to the SD card on Android? 

I'd like to add a feature to my Android app that automatically backs up the SQLite database to the SD card.

What's the best way to go about this? Are any examples or tutorials available?

You find your Database Name in the Database Adapter if you are new into this.

Note that you can do this for SharedPreferences too but keep in mind to change your Context.MODE_PRIVATE to Context.MODE_MULTI_PROCESS.

SharedPreferences_name should look like this = `ExportSP(""temp.xml"");`
    
    
    String currentPathForSharedPreferences = ""/data/""+ context.getPackageName() +""/shared_prefs/""+ SharedPreferences_name;
    

For export
    
    
    exportDB(""MyDbName"");
    private void exportDB(String db_name){
    File sd = new File(Environment.getExternalStoragePublicDirectory(Environment.DIRECTORY_DOWNLOADS) + 
    File.separator + ""Your Backup Folder""+ 
    File.separator );
    boolean success = true;
    if (!sd.exists()) {
    success = sd.mkdir();
    }
    if (success) {
    File data = Environment.getDataDirectory();
    FileChannel source=null;
    FileChannel destination=null;
    String currentDBPath = ""/data/""+ context.getPackageName() +""/databases/""+db_name;
    String backupDBPath = db_name;
    File currentDB = new File(data, currentDBPath);
    File backupDB = new File(sd, backupDBPath);
    try {
    source = new FileInputStream(currentDB).getChannel();
    destination = new FileOutputStream(backupDB).getChannel();
    destination.transferFrom(source, 0, source.size());
    source.close();
    destination.close();
    Toast.makeText(this, ""Please wait"", Toast.LENGTH_SHORT).show();
    } catch(IOException e) {
    e.printStackTrace();
    }
    }}
    

For import
    
    
    importDB(""MyDbName"");
    private void importDB(String db_name){
    File sd = new File(Environment.getExternalStoragePublicDirectory(Environment.DIRECTORY_DOWNLOADS) + 
    File.separator + ""Your Backup Folder""+ 
    File.separator );
    File data = Environment.getDataDirectory();
    FileChannel source=null;
    FileChannel destination=null;
    String backupDBPath = ""/data/""+ context.getPackageName() +""/databases/""+db_name;
    String currentDBPath = db_name;
    File currentDB = new File(sd, currentDBPath);
    File backupDB = new File(data, backupDBPath);
    try {
    source = new FileInputStream(currentDB).getChannel();
    destination = new FileOutputStream(backupDB).getChannel();
    destination.transferFrom(source, 0, source.size());
    source.close();
    destination.close();
    Toast.makeText(this, ""Please wait"", Toast.LENGTH_SHORT).show();
    } catch(IOException e) {
    e.printStackTrace();
    }
    }",Environment,0
"How do I backup a database file to the SD card on Android? 

I'd like to add a feature to my Android app that automatically backs up the SQLite database to the SD card.

What's the best way to go about this? Are any examples or tutorials available?
    
    
    @Override
    protected void onCreate(Bundle savedInstanceState) {
    try {
    File sd = Environment.getExternalStorageDirectory();
    File data = Environment.getDataDirectory();
    if (sd.canWrite()) {
    String currentDBPath = ""//data//""+getPackageName()+""//databases//""+DATABASE_NAME+"""";
    String backupDBPath = ""backup.db"";
    File currentDB = new File(data, currentDBPath);
    File backupDB = new File(sd, backupDBPath);
    FileChannel src = new FileInputStream(currentDB).getChannel();
    FileChannel dst = new FileOutputStream(backupDB).getChannel();
    dst.transferFrom(src, 0, src.size());
    src.close();
    dst.close();
    Toast.makeText(getBaseContext(), backupDB.toString(), Toast.LENGTH_LONG).show();
    }
    } catch (Exception e) {
    Toast.makeText(getBaseContext(), e.toString(), Toast.LENGTH_LONG).show();
    }
    }",FileInputStream,0
